DATE,rockford pop,rockford gdp,peoria pop,peoria gdp,akron pop,akron gdp,south bend pop,south bend gdp,dayton pop,dayton gdp,erie pop,erie gdp,peer average pop,peer average gdp
2010,349.184,13196.206,416.056,22309.03,703.056,28983.322,319.044,11579.994,799.706,33388,280.809,11176.458,477.976,20105.502
2011,347.79,13779.73,416.727,25486.389,703.262,29589.772,318.936,11873.014,800.98,34891,281.244,11823.285,478.157,21240.532
2012,345.857,14197.542,416.937,29086.983,702.224,30484.007,318.391,12309.878,801.814,36117,281.416,11650.608,477.773,22307.670
2013,344.743,14238.264,418.183,25627.367,703.778,31447.075,318.789,12664.778,801.68,36999,280.905,11966.67,478.013,22157.192
2014,342.472,14775.71,415.596,25538.746,705.092,32753.646,319.608,13433.162,801.38,38409,279.66,11665.876,477.301,22762.690
2015,340.808,15336.939,412.993,24064.939,704.607,33868.052,319.937,13966.573,800.58,39346,278.452,11992.491,476.230,23095.832
2016,339.73,15592.458,410.962,23120.205,703.79,34458.54,321.368,14163.347,802.321,40236,276.639,11736.618,475.802,23217.861
2017,338.139,16024.313,407.083,22519.574,704.136,35193.942,321.753,14501.803,803.899,41111,273.855,11609.929,474.811,23493.427
2018,336.956,16830.667,403.334,23542.114,703.818,36624.333,322.734,15313.434,,,271.78,11972.858,407.724,20856.681
2019,335.746,17134.19,400.575,23669.529,703.24,37698.744,323.542,16029.644,,,269.529,12390.616,406.526,21384.545
,,,,,,,,,,,,,,
